flight_id,callsign,aircraft_type,category,wake_class,lat,lon,altitude_ft,speed_kt,heading_deg,vertical_rate,squawk,priority,eta_min,timestamp
219C4FB7,RAM239,B738,C,MEDIUM,26.923356,-13.584047,5046.0,437.2,347.6,-1722.0,2242,NORMAL,2.25,2026-05-11T10:18:03.256274
DF0F9220,RAM415,A320,C,MEDIUM,27.293735,-13.066275,9297.0,409.9,220.3,-1282.0,2109,NORMAL,3.0,2026-05-11T10:18:03.256193
B289A4DA,RAM366,B738,C,MEDIUM,27.447372,-13.209181,6904.0,386.6,298.3,-1334.0,1172,NORMAL,3.24,2026-05-11T10:18:03.256432
A69AA429,RAM887,A320,C,MEDIUM,26.909096,-13.071844,4691.0,431.3,355.3,-837.0,5412,FUEL_CRITICAL,3.26,2026-05-11T10:18:03.256471
28C85995,RAM453,A320,C,MEDIUM,27.20047,-13.804396,12786.0,383.0,277.7,-952.0,6312,NORMAL,3.28,2026-05-11T10:18:03.256508
47AD2040,RAM587,B738,C,MEDIUM,27.405235,-13.073529,8473.0,415.5,185.1,-858.0,7071,NORMAL,3.43,2026-05-11T10:18:03.256232
5643EF30,RAM872,A320,C,MEDIUM,27.296125,-13.837636,11211.0,391.3,178.3,-1272.0,2775,NORMAL,3.7,2026-05-11T10:18:03.256314
961987A3,RAM429,B737,C,MEDIUM,27.535412,-13.199182,13357.0,392.9,22.9,-1052.0,6177,NORMAL,3.93,2026-05-11T10:18:03.256548
A9738F32,RAM876,A320,C,MEDIUM,27.518932,-13.876689,3247.0,446.2,76.4,-636.0,7025,NORMAL,4.43,2026-05-11T10:18:03.256145
646EB7B9,RAM651,B738,C,MEDIUM,26.640379,-12.83751,10184.0,448.4,20.9,-1613.0,6022,NORMAL,5.84,2026-05-11T10:18:03.256079
6C1912CB,RAM632,B738,C,MEDIUM,27.444238,-12.658024,14274.0,452.3,331.9,-726.0,4259,NORMAL,5.84,2026-05-11T10:18:03.256394
F647D41D,RAM608,B737,C,MEDIUM,27.840075,-13.245816,10950.0,405.8,196.8,-1426.0,2317,NORMAL,6.25,2026-05-11T10:18:03.256355
