flight_id,callsign,lat,lon,altitude_ft,speed_kt,heading_deg,vertical_rate,squawk,timestamp,aircraft_type,category,wake_class,priority,eta_min
34558c,RSC969,28.5929,-15.0294,12000.0,247.2,267.45,0.0,0000,2026-05-21T14:06:51,UNKNOWN,C,MEDIUM,NORMAL,
4892c1,ENT7AP,29.8551,-15.6694,30400.0,487.6,22.04,1152.0,0000,2026-05-21T14:14:00,UNKNOWN,C,MEDIUM,NORMAL,
34565a,CNF374,28.5193,-14.6478,11700.0,295.4,76.29,-1024.0,0000,2026-05-21T14:13:52,UNKNOWN,C,MEDIUM,NORMAL,
3451ca,IBB94VU,28.2583,-15.7226,8000.0,254.0,300.0,0.0,0000,2026-05-21T14:13:59,UNKNOWN,C,MEDIUM,NORMAL,
345344,RSC7YY,28.2677,-15.8355,13025.0,261.2,117.84,65.0,0000,2026-05-21T14:12:35,UNKNOWN,C,MEDIUM,NORMAL,
346398,IBB88UP,29.1108,-13.7385,39000.0,432.9,223.32,65.0,0000,2026-05-21T14:12:22,UNKNOWN,C,MEDIUM,NORMAL,
440666,AUA465,28.3228,-14.6202,35375.0,423.3,235.78,-1280.0,0000,2026-05-21T14:13:58,UNKNOWN,C,MEDIUM,NORMAL,
503d71,CFG8AP,29.059,-13.285,15650.0,355.9,195.48,-1791.0,0000,2026-05-21T14:07:46,UNKNOWN,C,MEDIUM,NORMAL,
4952b0,TAP089,28.1727,-15.9691,36000.0,461.6,205.68,0.0,0000,2026-05-21T14:13:58,UNKNOWN,C,MEDIUM,NORMAL,
44b438,TFL77D,28.9308,-15.9758,27400.0,423.0,9.66,1472.0,0000,2026-05-21T14:13:55,UNKNOWN,C,MEDIUM,NORMAL,
3c6426,CFG5KA,28.3836,-14.2773,23725.0,416.3,220.62,-2368.0,0000,2026-05-21T14:13:23,UNKNOWN,C,MEDIUM,NORMAL,
3c7861,CFG7WU,29.2113,-13.2359,10625.0,311.1,196.05,-833.0,0000,2026-05-21T14:11:38,UNKNOWN,C,MEDIUM,NORMAL,
48ea6e,SJI2,28.6087,-14.2435,11300.0,326.9,69.4,-1600.0,0000,2026-05-21T14:12:02,UNKNOWN,C,MEDIUM,NORMAL,
347658,VLG29YC,28.0221,-15.3119,7225.0,280.3,187.38,-1791.0,0000,2026-05-21T14:13:54,UNKNOWN,C,MEDIUM,NORMAL,
347247,IBS16BN,28.2726,-14.9817,14275.0,367.3,54.75,2559.0,0000,2026-05-21T14:13:58,UNKNOWN,C,MEDIUM,NORMAL,
485a85,TFL1661,29.5984,-13.1947,41000.0,425.1,219.08,0.0,0000,2026-05-21T14:13:58,UNKNOWN,C,MEDIUM,NORMAL,
347159,IBB81GX,28.8745,-13.6459,1300.0,147.1,26.22,-833.0,0000,2026-05-21T14:13:13,UNKNOWN,C,MEDIUM,NORMAL,
406016,EZY93ZW,27.7299,-15.4229,3775.0,233.7,299.2,-1152.0,0000,2026-05-21T14:10:30,UNKNOWN,C,MEDIUM,NORMAL,
348106,CNA47,27.7896,-15.7409,3050.0,91.5,146.14,-65.0,0000,2026-05-21T14:10:17,UNKNOWN,C,MEDIUM,NORMAL,
3c66e7,OCN8NT,28.9596,-13.78,37000.0,437.4,218.78,0.0,0000,2026-05-21T14:14:00,UNKNOWN,C,MEDIUM,NORMAL,
3c66b5,OCN3PR,27.8488,-15.4998,17975.0,327.6,288.32,-1472.0,0000,2026-05-21T14:13:32,UNKNOWN,C,MEDIUM,NORMAL,
